CityShortName,Country,2020Base,2030Target
Boulder,USA,66.00,100.00
San Francisco,USA,70.50,100.00
Santa Monica,USA,50.00,100.00
Auckland,New Zealand,84.59,95.41
"Park City, UT",USA,35.50,89.25
Salt Lake City,USA,32.94,88.82
Gladsaxe Kommune,Denmark,44.20,81.40
Groningen,Netherlands,22.24,74.08
Austin,USA,41.14,68.86
Vancouver,Canada,42.50,61.67
Lakewood,USA,34.33,55.67
Los Angeles,USA,33.00,53.00
Sydney,Australia,32.00,50.00
District of Columbia,USA,24.80,45.80
Firenze,Italy,33.16,45.00
Pietermaritzburg,South Africa,30.00,30.00
"Columbia, MO",USA,17.50,30.00
Las Vegas,USA,20.71,29.29
New Taipei,Taiwan,10.00,14.00
Minneapolis,USA,3.62,10.00
Taipei City,Taiwan,4.00,6.00
